year,temp,temp_s
1970,5.08,-2.7406256811316516
1971,9.309,0.19037698346289708
1972,7.822,-0.8402214942510051
1973,8.74025,-0.20380787477501944
1974,6.892,-1.484778712996082
1975,8.784699999999999,-0.173000812008118
1976,8.3894,-0.446972283588686
1977,6.834,-1.5249769051328723
1978,11.272,1.5508778656097648
1979,11.8839,1.974968792652897
1980,7.4619,-1.089796821638212
1981,7.442366666666667,-1.103334833472786
1982,7.1974,-1.2731144392275375
1983,10.46766,0.9934121093458774
1984,9.0306,-0.0025743387936934155
1985,8.5558,-0.3316450564927931
1986,7.12875,-1.3206938511273758
1987,7.9812,-0.7298843875582993
1988,8.81115,-0.1546690502491851
1989,8.030485714285714,-0.6957258252745746
1990,8.998542857142857,-0.024792255826933965
1991,9.704466666666667,0.4644639670898365
1992,7.07935,-1.3549316216714693
1993,9.23428,0.13859062283426088
1994,8.55455,-0.3325113968405679
1995,8.9982,-0.02502988060803741
1996,8.8432,-0.1324560837322177
1997,10.6784,1.139470161258068
1998,8.82788,-0.14307395103455536
1999,7.785285714285714,-0.8656671478942441
2000,9.296913043478261,0.18199984896962362
2001,8.528725,-0.35040998842561344
2002,9.296700000000001,0.18185219444078615
2003,8.128542857142858,-0.6277651378787797
2004,9.079755555555556,0.03149401408239082
2005,11.067,1.4087980485745595
2006,9.504800000000001,0.3260805355384749
2007,8.4709,-0.39048689291371413
2008,7.9455,-0.7546270678907718
2009,8.8025,-0.1606641254557921
2010,8.801607142857144,-0.16128293998991716
2011,10.978,1.3471146158129335
2012,9.665000000000001,0.4371107145094008
2013,10.06965,0.7175624118913303
2014,10.81024,1.2308448104186607
2015,10.740733333333333,1.1826716666004797
2016,9.5943,0.38811050443921025
2017,10.098840000000001,0.7377931916925882
2018,10.668333333333333,1.1324932336573146
2019,10.768275862068965,1.201760629739238
2020,12.615,2.4816739352599138
